order_no,delivery_means,delivery_by,amount,order_status,ordered_category,ordered_from,reasonForCancellation
6944320495,Cycle,F,1000,Cancelled,Seafood,Online Portal,Packaging not Proper
3838382501,Cycle,M,272,Cancelled,South Indian,Online Portal,Ordered mistaken
3982488648,Cycle,F,805,Cancelled,Susi,Online Portal,Ordered mistaken
6814443341,Bike,F,124,Cancelled,South Indian,Mobile App,Damaged
8933002731,Cycle,F,352,Cancelled,Susi,Mobile App,Ordered mistaken
9150099566,Cycle,M,774,Cancelled,Seafood,Online Portal,Packaging not Proper
7498641216,Bike,M,882,Cancelled,Susi,Online Portal,Ordered mistaken
6566690581,Cycle,M,440,Cancelled,South Indian,Online Portal,Ordered mistaken
3141655065,Walk,M,591,Cancelled,Seafood,Online Portal,Damaged
3356178725,Bike,M,595,Cancelled,South Indian,Mobile App,Ordered mistaken
1038579716,Walk,M,248,Cancelled,Continental,Online Portal,Damaged
4112250282,Bike,F,745,Cancelled,South Indian,Mobile App,Damaged
2509972464,Cycle,M,737,Cancelled,Seafood,Mobile App,Ordered mistaken
3815991854,Cycle,M,173,Cancelled,Continental,Online Portal,Ordered mistaken
616291787,Cycle,F,645,Cancelled,South Indian,Online Portal,Ordered mistaken
5142875249,Cycle,M,467,Cancelled,Seafood,Mobile App,Packaging not Proper
668870664,Bike,F,707,Cancelled,Susi,Online Portal,Packaging not Proper
8407862517,Cycle,F,580,Cancelled,South Indian,Mobile App,Damaged
2455918858,Cycle,M,391,Cancelled,South Indian,Online Portal,Ordered mistaken
9658713971,Walk,M,157,Cancelled,South Indian,Online Portal,Packaging not Proper
6163899563,Walk,M,111,Cancelled,South Indian,Online Portal,Ordered mistaken
4357421381,Bike,F,206,Cancelled,North Indian,Mobile App,Ordered mistaken
9132689667,Cycle,F,189,Cancelled,Susi,Online Portal,Ordered mistaken
5258446514,Cycle,F,994,Cancelled,Susi,Mobile App,Damaged
5195864799,Walk,F,588,Cancelled,North Indian,Online Portal,Packaging not Proper
4969058598,Cycle,M,509,Cancelled,Continental,Mobile App,Ordered mistaken
6887211998,Bike,F,468,Cancelled,South Indian,Online Portal,Damaged
3232903185,Bike,F,460,Cancelled,Continental,Online Portal,Damaged
5507044023,Walk,F,347,Cancelled,Seafood,Online Portal,Packaging not Proper
2856274102,Bike,F,348,Cancelled,Susi,Mobile App,Ordered mistaken
8755647685,Walk,M,741,Cancelled,Susi,Mobile App,Packaging not Proper
1852598131,Bike,M,549,Cancelled,South Indian,Online Portal,Damaged
1127021559,Bike,M,793,Cancelled,South Indian,Mobile App,Ordered mistaken
4612577140,Cycle,F,732,Cancelled,Seafood,Mobile App,Damaged
9094581817,Bike,F,179,Cancelled,Susi,Mobile App,Ordered mistaken
9672140673,Cycle,F,344,Cancelled,North Indian,Online Portal,Damaged
2821978871,Walk,F,245,Cancelled,Seafood,Mobile App,Ordered mistaken
427116309,Walk,M,244,Cancelled,North Indian,Online Portal,Ordered mistaken
8699689160,Bike,M,762,Cancelled,Continental,Mobile App,Ordered mistaken
8365087464,Cycle,M,689,Cancelled,North Indian,Mobile App,Packaging not Proper
8847577403,Walk,F,139,Cancelled,Seafood,Online Portal,Ordered mistaken
9163356805,Cycle,M,104,Cancelled,Continental,Online Portal,Ordered mistaken
33878013,Cycle,F,539,Cancelled,North Indian,Online Portal,Damaged
5412095399,Walk,F,678,Cancelled,Susi,Online Portal,Damaged
5612131143,Bike,F,923,Cancelled,North Indian,Mobile App,Packaging not Proper
7612823314,Cycle,F,650,Cancelled,South Indian,Mobile App,Ordered mistaken
5078843795,Walk,F,776,Cancelled,South Indian,Online Portal,Ordered mistaken
2482191513,Cycle,F,553,Cancelled,Seafood,Mobile App,Packaging not Proper
2932306812,Bike,F,612,Cancelled,Susi,Online Portal,Damaged
9133526443,Walk,M,701,Cancelled,South Indian,Online Portal,Ordered mistaken
7372208785,Cycle,F,173,Cancelled,Continental,Online Portal,Damaged
9878831884,Walk,F,487,Cancelled,Seafood,Mobile App,Damaged
5144347347,Walk,M,300,Cancelled,Seafood,Mobile App,Ordered mistaken
6952268448,Cycle,M,352,Cancelled,South Indian,Mobile App,Damaged
7149655238,Walk,M,485,Cancelled,North Indian,Mobile App,Ordered mistaken
6238453397,Cycle,F,478,Cancelled,North Indian,Online Portal,Ordered mistaken
1443664111,Cycle,F,513,Cancelled,Susi,Online Portal,Ordered mistaken
5673583605,Cycle,F,156,Cancelled,Susi,Mobile App,Packaging not Proper
8951091430,Bike,F,385,Cancelled,South Indian,Mobile App,Damaged
2693563836,Bike,F,714,Cancelled,North Indian,Mobile App,Packaging not Proper
8741253612,Bike,M,548,Cancelled,South Indian,Online Portal,Ordered mistaken
6721847620,Cycle,M,759,Cancelled,South Indian,Mobile App,Ordered mistaken
3774485429,Walk,F,852,Cancelled,North Indian,Mobile App,Ordered mistaken
4699517102,Cycle,F,910,Cancelled,North Indian,Online Portal,Damaged
4623193624,Walk,M,119,Cancelled,South Indian,Online Portal,Damaged
318489767,Walk,F,798,Cancelled,Continental,Online Portal,Damaged
4124183275,Walk,M,965,Cancelled,Seafood,Mobile App,Ordered mistaken
3897790742,Bike,M,104,Cancelled,South Indian,Online Portal,Ordered mistaken
5456599651,Bike,M,227,Cancelled,Continental,Mobile App,Ordered mistaken
2447816251,Bike,M,706,Cancelled,Continental,Mobile App,Ordered mistaken
3178414754,Cycle,F,270,Cancelled,Seafood,Mobile App,Ordered mistaken
1472015568,Walk,F,685,Cancelled,Susi,Online Portal,Damaged
1411815270,Cycle,F,661,Cancelled,Continental,Online Portal,Packaging not Proper
3442893062,Cycle,F,659,Cancelled,Continental,Online Portal,Packaging not Proper
1485979005,Bike,M,593,Cancelled,Seafood,Online Portal,Ordered mistaken
3604360773,Walk,M,516,Cancelled,Seafood,Mobile App,Packaging not Proper
3352259674,Walk,M,742,Cancelled,Seafood,Mobile App,Packaging not Proper
2778461833,Walk,F,408,Cancelled,South Indian,Online Portal,Damaged
6831161677,Bike,M,837,Cancelled,North Indian,Mobile App,Damaged
7408347674,Bike,M,578,Cancelled,Susi,Mobile App,Damaged
8073681323,Cycle,M,509,Cancelled,Seafood,Online Portal,Packaging not Proper
5681921697,Walk,M,163,Cancelled,Susi,Online Portal,Packaging not Proper
2253861405,Walk,M,424,Cancelled,Susi,Mobile App,Damaged
2560440512,Cycle,F,563,Cancelled,Continental,Mobile App,Ordered mistaken
9072015851,Cycle,M,781,Cancelled,North Indian,Mobile App,Damaged
6533414623,Walk,M,711,Cancelled,Continental,Mobile App,Packaging not Proper
3331695122,Cycle,M,507,Cancelled,Seafood,Online Portal,Packaging not Proper
8484939510,Bike,M,112,Cancelled,Continental,Online Portal,Ordered mistaken
1523934697,Cycle,F,917,Cancelled,North Indian,Mobile App,Ordered mistaken
7522416825,Bike,F,931,Cancelled,Seafood,Online Portal,Ordered mistaken
8222313304,Cycle,M,772,Cancelled,Seafood,Mobile App,Ordered mistaken
6962989458,Bike,F,814,Cancelled,North Indian,Online Portal,Ordered mistaken
1665348984,Bike,F,825,Cancelled,South Indian,Online Portal,Damaged
3684961930,Bike,F,976,Cancelled,Susi,Online Portal,Ordered mistaken
1850330174,Cycle,F,463,Cancelled,Seafood,Online Portal,Damaged
7440307569,Cycle,F,639,Cancelled,South Indian,Mobile App,Packaging not Proper
5139384388,Bike,M,246,Cancelled,South Indian,Online Portal,Damaged
7788630349,Walk,F,690,Cancelled,Susi,Online Portal,Damaged
6746925277,Bike,M,860,Cancelled,Continental,Mobile App,Packaging not Proper
9146461906,Cycle,M,828,Cancelled,North Indian,Online Portal,Ordered mistaken
8222728563,Walk,F,369,Cancelled,North Indian,Online Portal,Ordered mistaken
9705740194,Bike,M,619,Cancelled,South Indian,Online Portal,Damaged
1274110793,Walk,M,159,Cancelled,Susi,Mobile App,Damaged
364999896,Cycle,M,152,Cancelled,Seafood,Online Portal,Packaging not Proper
5120409229,Bike,M,104,Cancelled,North Indian,Online Portal,Packaging not Proper
5987109728,Bike,M,118,Cancelled,Continental,Online Portal,Damaged
7020519571,Bike,F,855,Cancelled,South Indian,Online Portal,Ordered mistaken
1052019358,Cycle,M,812,Cancelled,North Indian,Online Portal,Ordered mistaken
5755923264,Walk,M,526,Cancelled,Seafood,Online Portal,Ordered mistaken
9198110934,Bike,F,259,Cancelled,North Indian,Mobile App,Ordered mistaken
6891982634,Cycle,F,100,Cancelled,Susi,Mobile App,Packaging not Proper
380001470,Walk,M,946,Cancelled,Seafood,Mobile App,Ordered mistaken
307830179,Cycle,M,834,Cancelled,North Indian,Mobile App,Ordered mistaken
8940949722,Cycle,F,378,Cancelled,Susi,Online Portal,Ordered mistaken
1204153477,Walk,M,957,Cancelled,South Indian,Online Portal,Ordered mistaken
8680835765,Walk,M,610,Cancelled,South Indian,Mobile App,Damaged
2030313807,Cycle,F,566,Cancelled,Susi,Online Portal,Ordered mistaken
6706292494,Bike,M,533,Cancelled,Continental,Mobile App,Ordered mistaken
5382609365,Bike,M,219,Cancelled,Continental,Mobile App,Damaged
2705813640,Walk,F,590,Cancelled,Continental,Online Portal,Ordered mistaken
3400096946,Cycle,F,720,Cancelled,Susi,Online Portal,Ordered mistaken
8162120122,Cycle,M,770,Cancelled,South Indian,Mobile App,Damaged
56573502,Bike,F,467,Cancelled,South Indian,Online Portal,Ordered mistaken
8255862196,Walk,M,452,Cancelled,Seafood,Online Portal,Ordered mistaken
2358047791,Walk,M,353,Cancelled,South Indian,Mobile App,Damaged
9693660358,Cycle,F,328,Cancelled,South Indian,Mobile App,Packaging not Proper
3503879056,Cycle,M,790,Cancelled,Susi,Mobile App,Ordered mistaken
9178048605,Cycle,M,920,Cancelled,South Indian,Online Portal,Damaged
7520474720,Cycle,F,752,Cancelled,North Indian,Mobile App,Ordered mistaken
949073857,Cycle,F,381,Cancelled,North Indian,Online Portal,Ordered mistaken
2897753366,Cycle,M,640,Cancelled,Continental,Mobile App,Ordered mistaken
3313724892,Cycle,M,175,Cancelled,Seafood,Online Portal,Ordered mistaken
3406187528,Cycle,F,543,Cancelled,Seafood,Mobile App,Ordered mistaken
9304031508,Walk,M,781,Cancelled,South Indian,Mobile App,Ordered mistaken
3591123641,Bike,F,571,Cancelled,South Indian,Online Portal,Packaging not Proper
4858102718,Bike,F,449,Cancelled,Susi,Online Portal,Ordered mistaken
467238162,Walk,M,715,Cancelled,Continental,Mobile App,Ordered mistaken
3435771747,Walk,F,644,Cancelled,Seafood,Mobile App,Damaged
605032378,Bike,F,436,Cancelled,Seafood,Online Portal,Ordered mistaken
5465960167,Cycle,F,464,Cancelled,North Indian,Online Portal,Packaging not Proper
9623900899,Walk,F,106,Cancelled,North Indian,Mobile App,Ordered mistaken
2154168698,Walk,M,784,Cancelled,Susi,Mobile App,Packaging not Proper
7101374700,Cycle,M,349,Cancelled,Continental,Mobile App,Damaged
4905994942,Cycle,M,800,Cancelled,Continental,Mobile App,Packaging not Proper
8223059045,Walk,F,639,Cancelled,Seafood,Online Portal,Packaging not Proper
4803900221,Walk,F,469,Cancelled,North Indian,Mobile App,Damaged
4191129716,Cycle,F,227,Cancelled,Continental,Online Portal,Packaging not Proper
8507823483,Bike,M,570,Cancelled,North Indian,Online Portal,Ordered mistaken
7715184829,Walk,M,110,Cancelled,Susi,Online Portal,Ordered mistaken
7809969838,Walk,F,861,Cancelled,Seafood,Mobile App,Damaged
1761331035,Bike,F,977,Cancelled,Seafood,Mobile App,Ordered mistaken
7641684041,Cycle,F,345,Cancelled,Seafood,Mobile App,Ordered mistaken
8576016842,Cycle,M,157,Cancelled,Seafood,Online Portal,Packaging not Proper
3098495790,Bike,M,774,Cancelled,Susi,Online Portal,Ordered mistaken
7494793607,Walk,M,597,Cancelled,Continental,Mobile App,Ordered mistaken
8852074635,Cycle,F,940,Cancelled,North Indian,Online Portal,Ordered mistaken
5294282593,Bike,F,193,Cancelled,Continental,Online Portal,Packaging not Proper
5128052907,Walk,M,235,Cancelled,North Indian,Mobile App,Ordered mistaken
8775090163,Bike,F,434,Cancelled,Continental,Online Portal,Packaging not Proper
5094440985,Walk,M,602,Cancelled,Seafood,Mobile App,Packaging not Proper
8076941008,Cycle,F,185,Cancelled,Susi,Mobile App,Damaged
3117965602,Bike,F,848,Cancelled,Susi,Mobile App,Damaged
8468329827,Cycle,F,207,Cancelled,South Indian,Online Portal,Ordered mistaken
