order_id,o_status,amount,lead_id,oppo_id,quotes_id
792716892,Order created,11540,1500640212,4826375514,9823705844
4352276952,Order created,28669,1202814638,3761032137,5327038556
5550209993,Order created,11133,283871911,3624621521,2814092103
7949238038,Order created,13051,7127643253,1217468269,8181287851
,,,,,
,,,,,
,,,,,
5835420986,Order created,46920,7982000355,9328310369,8222797662
5896632231,Order created,12590,6170913029,824070488,5018861509
718724011,Order created,22302,6842898226,5367873243,9733822205
2539728030,Order created,27312,5420970961,3089644452,9774682696
3862609863,Order created,38636,6237214070,1659643376,911222618
3876914744,Order created,37593,9687173157,9131347258,4210417181
3721357507,Order created,17889,5729834640,3416282256,8442634320
6027576987,Order created,31682,6917052760,2568923393,4996991062
9805665453,Order created,17682,1707611017,9188560392,8903882067
7134729818,Order created,28693,1872698964,7960877742,8154245302
6948570909,Order created,40210,9291776750,888464053,3781927474
2514371767,Order created,33862,7004853616,6917045209,5273937663
8705518121,Order created,39393,3505630365,6797299349,9343446853
,,,,,
5640343397,Order created,23256,7420135398,5434077938,48603430
175542716,Order created,31626,1683723449,6253884387,840813716
3633495347,Order created,32628,499114183,9474980667,315428058
,,,,,
2113938030,Order created,43464,2644580323,7456309337,2778228977
,,,,,
3530854247,Order created,19652,4443626050,5045019589,7423142190
5850384553,Order created,16446,8333101046,3782056884,5612990189
2636860207,Order created,35664,7457033009,1224097475,9912861914
,,,,,
376082143,Order created,19964,5977255217,5221303779,281085587
7506910292,Order created,21898,4454882622,3953651889,5118882214
2818854644,Order created,39237,9188725421,3768333124,2096760208
8872748518,Order created,14088,9973041496,1959789538,7942445771
,,,,,
5842184087,Order created,16322,9274708327,711508704,856604739
,,,,,
9723749327,Order created,46914,2648781935,7196548671,2895171661
3241102548,Order created,21527,9817173941,4514421413,629776083
4281755845,Order created,19450,1684321999,4596342350,7896638703
2881702724,Order created,32573,5588737679,3729171119,7351783721
7289663306,Order created,38661,6935560721,6476126121,9556274294
6788191336,Order created,49047,8330264394,111101530,1861452101
5956752998,Order created,13404,6097622406,3872835777,4541744740
7701758968,Order created,22891,1184663092,8509602697,52573389
,,,,,
,,,,,
,,,,,
1793483566,Order created,37092,317740601,8255568271,450872556
,,,,,
9810108893,Order created,23110,2285804407,1760391018,6701924638
3778679546,Order created,14126,8059945394,7983349122,3796861644
,,,,,
2070435636,Order created,30157,7952182412,1038436389,5688725923
3493952996,Order created,20236,8568713017,4624999355,7497897047
,,,,,
7255853331,Order created,48413,1857295145,44153740,4774016594
1100466126,Order created,48741,8384087849,8990465443,4858748715
8954554768,Order created,34210,3595061314,853637857,6758305651
3075552461,Order created,32994,4887432453,392741539,9925713633
,,,,,
9577312381,Order created,35941,5596901768,6965173750,9910288966
3497913197,Order created,35524,1159661367,9062221440,84325127
,,,,,
