cust_id,invoice_id,rest_id,date,delivery_by,gross_income,gross_margin,latitude,longitude,order_price,delivery_charges,payment_mode
7bd01421-24a6-4caa-b3b8-8588dd7baab5,7117378778,7088291509,10/26/2019,F,550137,36675,-2.3769393,112.858217,381,27.61,E-wallet
70d40f37-cb86-442e-9c75-7eb56de9f163,7273904643,3129980008,5/31/2019,M,289576,19305,8.2101114,124.8662656,242,24.48,COD
6fee074b-b86c-4c5a-9182-9ecbc3e45a51,3949211365,1961937077,11/27/2019,F,639816,42654,-7.0827518,108.5166348,369,27.17,Online Payment
c5a92480-3458-490c-8ef1-0fa8e854298f,2745023667,1860589715,5/14/2019,M,133081,8872,29.5769271,-9.0267076,802,17.45,Online Payment
8e838902-8506-45f5-8e16-c9882e0c4ec6,679645640,1403544808,06-02-2019,F,514868,34324,-18.7,47.783333,311,28.28,COD
f55fe1d9-d7b3-4133-96d0-1fd27f261f53,816958866,3154721169,01-07-2020,M,505579,33705,45.19045,33.366867,281,14.24,E-wallet
d10cb2a3-8e58-425b-a00b-a0ffc359c890,6489318954,8953259487,12-09-2019,F,508800,33920,49.1169513,101.449837,242,22.15,Online Payment
62e76253-48a0-45d3-a64c-346a12727098,5145024169,4054633161,7/18/2019,M,340579,22705,51.0003903,3.7139045,129,23.36,Online Payment
d2a94b81-d412-4255-8ff0-5d9e4acfae73,1806117932,3031086716,12/27/2019,F,757516,50501,31.172739,115.008163,538,16.25,Online Payment
f7816571-7f4b-427a-9c7b-dcc244d20a26,1913179702,885668898,5/25/2019,M,118619,7907,45.8074308,19.6056613,359,12.02,E-wallet
a068856f-6dac-4db0-accf-a880cfaea00d,5194669054,524290733,04-03-2020,M,236730,15782,45.3180513,42.846668,474,27.69,COD
402621b0-aee6-4b86-b65c-2608a31e9e7d,2767389494,6178142781,03-01-2020,F,640780,42718,7.1335511,124.5306854,281,27.97,COD
7fe21b50-3d0d-4f7a-ba35-3ee0f8731f4a,4197005245,9802430625,10/28/2019,M,715074,47671,50.05998,21.8324138,678,22.78,E-wallet
33aa2c76-1306-42b0-b965-7bfea3cda9d4,8575882996,2876428296,2/20/2020,M,522529,34835,27.5828698,85.5097226,348,28.79,Online Payment
e3715a9c-104a-470b-a46c-a15ed1f919dc,5940578993,7069022085,12-01-2019,M,931276,62085,22.2100066,114.133531,770,21.07,Online Payment
b62f315d-cb73-4da7-ba6d-c237c2aaa051,2890061329,7052705389,10/19/2019,F,555308,37020,22.517585,113.39277,118,11.75,COD
8998a078-cf0b-4d2f-98ac-1026575e9922,4479564845,7493887683,9/17/2019,M,895439,59695,17.8895907,102.579531,329,11.14,COD
a3718be2-d729-42ea-bf79-55c2dc6fb8d6,2811292373,9150888838,8/31/2019,M,954862,63657,43.0429124,1.9038837,411,28.21,Online Payment
96e766a8-0985-4f07-b23a-7df492aba7a3,8528341380,1152940457,4/16/2019,M,812416,54161,57.6581553,12.1171659,437,11.01,Online Payment
e3ba8839-faee-462c-a45b-36840234ad81,6266498243,8127310468,09-07-2019,F,703811,46920,12.5050457,123.4144449,257,23.72,Online Payment
1dce5a7f-aeac-4d85-93ff-648e513797e2,8814946418,2533496456,8/28/2019,F,709932,47328,8.1402266,-5.0963141,207,12.95,COD
57ddbf6b-f5ed-41fb-a8f7-7b6ffd88f8ab,1499988737,9835782288,4/24/2019,F,108498,7233,35.1612182,-5.2632201,197,15.79,Online Payment
780ad3d0-e7b8-4299-8e48-a3452b1384ec,5593590338,9825545380,10/26/2019,M,239210,15947,-6.1965654,106.8226808,183,28.84,E-wallet
bb07a20e-d693-41bb-9ed8-238dccbff5cf,9774350936,3337394833,10/19/2019,M,952950,63530,58.3736347,12.3272689,241,23.5,E-wallet
cb68ffbe-e81b-444b-86b3-ac52a30428d0,7224256420,2364225833,05-09-2019,M,916883,61125,15.9769657,120.4674034,969,21.35,E-wallet
75821f3c-17f8-4817-b384-3a5cb0e77b5a,2007453088,6815553809,09-07-2019,F,482412,32160,27.756339,112.555087,822,11.32,COD
43cb5f8d-a4f6-41dd-b2e1-2d599abeede2,5485410901,2765538824,11/29/2019,F,219362,14624,55.9005444,53.9334354,127,20.8,COD
cac186e2-70b5-48e6-a3ff-156e7862946b,2767196572,2359405179,9/26/2019,M,551597,36773,29.538782,110.941004,807,25.48,E-wallet
dd930adc-f865-4867-8089-765ac5cf48ba,4462602927,9189835530,6/26/2019,M,174839,11655,49.3509463,16.134156,595,26.5,E-wallet
1dd718db-8a11-42f8-819c-ff89f91ad0b3,1764349598,6136271338,3/13/2020,M,627570,41838,34.15599,64.78566,302,17.46,Online Payment
95260b6e-4087-44d9-9478-2d78c7418e8f,8158842348,3630664989,6/29/2019,M,912557,60837,36.025609,-78.9853813,537,25.84,Online Payment
402e3802-2880-4600-b99a-a230d3139540,801817609,3325062601,10/15/2019,M,200628,13375,-4.4864625,-73.5947459,972,25.73,Online Payment
5aebde5d-e901-4efb-817c-ca02bcab5d54,3213832316,9360291102,12-07-2019,F,786723,52448,40.991594,110.722523,326,13.27,Online Payment
35577268-a542-4bdb-be0b-394034b77a45,6424711465,5003586736,12-01-2019,F,772058,51470,-13.0356794,33.4719832,831,29.11,Online Payment
8f094477-a382-4fd6-ae60-37935c37ae1b,9527791731,6695812144,11-12-2019,M,454017,30267,-21.203385,-50.4439728,595,27.79,E-wallet
bcf600b9-0711-4bba-8937-8838b867f899,3882578459,238984419,07-09-2019,F,437179,29145,29.696108,118.315329,391,15.38,COD
a91ca453-8d25-4041-a3b6-0570b8a1f4e6,9392238754,8803410627,3/27/2020,M,510988,34065,49.2752229,1.207968,944,28.89,COD
38104e3e-2ac0-48e1-880a-8cd63a7acc82,2446975003,2709077051,05-07-2019,M,656317,43754,19.268942,-99.1825465,529,13.83,COD
213f9370-88dc-44aa-9ebe-319e7c310e7d,4024027670,2217341308,6/27/2019,M,454232,30282,14.3641338,120.9314495,453,18.38,COD
cbca46fc-414f-4305-bcb3-d98fa44c39ed,3207465293,6826338963,6/29/2019,F,553257,36883,13.9314921,122.0915082,778,24.55,Online Payment
a09f8704-f07f-4b2e-8dc8-1719568b939c,612426947,1958807060,10/26/2019,M,293588,19572,13.3200851,101.1015323,190,29.87,E-wallet
03dd1006-b11b-4905-9f6c-da12bbb9c4d1,8319621941,2856653502,12/26/2019,M,879562,58637,49.0130083,28.5042197,629,24.05,COD
a58fa636-beea-4a1e-8afb-d6380c20dfac,9396773751,7578653318,02-05-2020,M,977113,65140,-9.8374219,124.5915966,103,18.4,COD
9be4829d-0596-49ae-84be-a14bec4dc490,7761861609,7145372762,12/21/2019,M,942069,62804,39.6022749,-8.8165669,736,29.51,Online Payment
e64d2063-2c85-4da7-8cd0-a8b1b9e5b836,3147021378,275570975,10-08-2019,F,516866,34457,44.0086458,22.9355752,782,28.29,COD
89d6defe-3569-40ad-a6ed-5c794c23a5a0,683504290,657508101,5/17/2019,F,433192,28879,-6.2241971,106.8281984,967,10.94,COD
cfa1f1c4-d318-493f-97d7-ef7be450586a,6082455584,6941482168,7/25/2019,F,411536,27435,50.4086421,36.8953954,800,19.17,COD
97b62cd2-6f4f-4370-b8c4-94780428359a,3751812237,9810211376,10/26/2019,M,150596,10039,34.151624,109.323479,921,11.28,E-wallet
efea5cae-e91e-4b4b-908f-8ecac996e546,7018163137,4900396583,7/20/2019,F,439966,29331,-10.9884148,26.7378585,976,13.29,Online Payment
9600af32-5175-4779-bebc-5b95d547a23d,8207183551,4783642389,01-03-2020,M,923741,61582,12.7523556,123.9719166,730,19.13,E-wallet
f46f8bac-dcae-4a35-b143-921f3941f593,8293839015,2153847419,3/30/2020,M,139711,9314,31.848137,117.284858,510,18.04,E-wallet
b3ceafdc-0df5-471c-9789-fb6fa29f5f64,144047764,1408186470,7/28/2019,F,762838,50855,24.370937,117.925685,735,23.29,Online Payment
da767ffa-39b5-4e09-8350-ca5666242e73,631174168,8464757875,2/17/2020,F,748642,49909,49.858677,18.9770856,459,26.43,COD
018ba0f4-99dd-41ea-9f39-28f5adea84c1,2287545883,9618475689,2/20/2020,M,702299,46819,19.482042,-99.1985584,806,29.56,COD
8c86a571-8402-46e0-84c0-f358455f8976,9320921008,4770845634,10-11-2019,M,218886,14592,40.076762,113.300129,846,10.43,COD
